text_en,level,example_en,example_ru,tags,extra
boyfriend,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""boyfriend n.""}"
bread,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""bread n.""}"
break,A1,,,"[""noun"", ""verb""]","{""parts_of_speech"": [""noun"", ""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""break v. , n.""}"
breakfast,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""breakfast n.""}"
bring,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""bring v.""}"
brother,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""brother n.""}"
brown,A1,,,"[""noun"", ""adjective""]","{""parts_of_speech"": [""noun"", ""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""brown adj. , n.""}"
build,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""build v.""}"
building,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""building n.""}"
bus,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""bus n.""}"
business,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""business n.""}"
busy,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""busy adj.""}"
but,A1,,,"[""noun"", ""conjunction""]","{""parts_of_speech"": [""noun"", ""conjunction""], ""source"": ""Oxford 3000"", ""original_line"": ""but conj.""}"
butter,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""butter n.""}"
buy,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""buy v.""}"
by,A1,,,"[""preposition""]","{""parts_of_speech"": [""preposition""], ""source"": ""Oxford 3000"", ""original_line"": ""by prep.""}"
bye,A1,,,"[""exclamation""]","{""parts_of_speech"": [""exclamation""], ""source"": ""Oxford 3000"", ""original_line"": ""bye exclam.""}"
cafe,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cafe n.""}"
cake,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cake n.""}"
call,A1,,,"[""noun"", ""verb""]","{""parts_of_speech"": [""noun"", ""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""call v. , n.""}"
camera,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""camera n.""}"
capital,A1,,,"[""noun"", ""adjective""]","{""parts_of_speech"": [""noun"", ""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""capital n. , adj.""}"
car,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""car n.""}"
card,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""card n.""}"
career,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""career n.""}"
carrot,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""carrot n.""}"
carry,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""carry v.""}"
cat,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cat n.""}"
cd,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""CD n.""}"
cent,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cent n.""}"
centre,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""centre n.""}"
century,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""century n.""}"
chair,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""chair n.""}"
change,A1,,,"[""noun"", ""verb""]","{""parts_of_speech"": [""noun"", ""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""change v. , n.""}"
chart,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""chart n.""}"
cheap,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""cheap adj.""}"
check,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""check v.""}"
cheese,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cheese n.""}"
chicken,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""chicken n.""}"
child,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""child n.""}"
chocolate,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""chocolate n.""}"
choose,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""choose v.""}"
cinema,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cinema n.""}"
city,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""city n.""}"
class,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""class n.""}"
classroom,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""classroom n.""}"
clean,A1,,,"[""verb"", ""adjective""]","{""parts_of_speech"": [""verb"", ""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""clean adj. , v.""}"
climb,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""climb v.""}"
clock,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""clock n.""}"
close,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""close 1 v.""}"
clothes,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""clothes n.""}"
club,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""club n.""}"
coat,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""coat n.""}"
coffee,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""coffee n.""}"
cold,A1,,,"[""noun"", ""adjective""]","{""parts_of_speech"": [""noun"", ""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""cold adj. , n.""}"
college,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""college n.""}"
colour,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""colour n.""}"
come,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""come v.""}"
common,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""common adj.""}"
company,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""company n.""}"
compare,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""compare v.""}"
complete,A1,,,"[""verb"", ""adjective""]","{""parts_of_speech"": [""verb"", ""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""complete adj. , v.""}"
computer,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""computer n.""}"
concert,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""concert n.""}"
conversation,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""conversation n.""}"
cook,A1,,,"[""verb""]","{""parts_of_speech"": [""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""cook v.""}"
cooking,A1,,,"[""noun""]","{""parts_of_speech"": [""noun""], ""source"": ""Oxford 3000"", ""original_line"": ""cooking n.""}"
cool,A1,,,"[""adjective""]","{""parts_of_speech"": [""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""cool adj.""}"
correct,A1,,,"[""verb"", ""adjective""]","{""parts_of_speech"": [""verb"", ""adjective""], ""source"": ""Oxford 3000"", ""original_line"": ""correct adj. , v.""}"
cost,A1,,,"[""noun"", ""verb""]","{""parts_of_speech"": [""noun"", ""verb""], ""source"": ""Oxford 3000"", ""original_line"": ""cost n. , v.""}"
